ownership,papan_pencatatan,ipo_raised_fund,float,price_cat,underwriter_freq_cat,underwriter_avg_aset_cat,underwriter_highest_short_rep,underwriter_highest_mid_rep,underwriter_highest_long_rep,underwriter_has_bigbank,total_aset_cat,equity,leverage_ratio,revenue,turnover_ratio,per,pbv,1d,1w,1m,6m,1y
3,4,79690910400.0,0.1626,0,2,0,1,0,0,0,1,86462098299.0,0.15290510276863017,12071666666.0,0.12110104825966066,100.0,5.668425930459618,0,1,0,0,0
3,1,87467417999.99998,0.2502,0,2,1,1,1,1,0,1,129000000000.0,1.37984496124031,64211861658.0,0.20915915849511402,-74.02448992438373,2.71,0,1,1,2,2
3,2,52650715999.99999,0.2719,0,2,1,1,0,0,1,0,30660048466.0,0.10442847344323568,9987416059.0,0.2949461356560815,46.7200230159375,6.315710825269378,1,0,0,0,0
3,1,52615625000.0,0.2,0,2,1,2,1,2,0,1,135000000000.0,3.8074074074074074,1170000000000.0,1.802773497688752,27.093028057776078,1.9487268518518517,0,1,1,2,2
3,1,69998790400.0,0.3256,0,2,1,1,1,1,0,1,54394946702.0,0.9303263697496986,134000000000.0,1.276190476190476,20.026348158701765,3.952278897850183,0,1,1,0,0
3,1,44250000000.0,0.2,0,2,1,2,1,2,0,1,216000000000.0,0.8194444444444444,508000000000.0,1.2926208651399491,8.786140921996383,1.0243055555555556,0,0,0,0,0
3,2,51000000000.0,0.2,0,2,0,2,2,0,0,0,22992892455.0,0.2478828530666478,26794354331.0,0.9338473076903678,100.0,10.0,1,0,0,0,0
2,4,101000000000.0,0.2,0,2,0,1,0,0,0,0,66963404187.0,0.07609638110347522,8265491517.0,0.11470437689750015,100.0,7.541432609814042,2,0,0,2,0
2,2,31994976000.0,0.2481,0,2,1,2,1,2,0,0,15531304000.0,2.943859833018528,56635038000.0,0.9246040775673651,-25.715686129841085,8.303230688163724,0,1,1,2,2
3,1,70194318120.0,0.2127,0,2,0,0,0,1,0,1,196689805997.0,0.40830887801183213,19037954757.0,0.06872907854512636,3.7158555412859213,1.677848012138634,1,0,0,0,0
2,2,49891215135.6,0.2003,0,2,1,1,1,1,0,0,4215315290.0,8.808221354659333,26216568117.0,0.6340967355213111,-352.8329583523762,10.0,1,0,0,2,0
3,1,113000000000.0,0.2,0,2,2,2,1,1,0,1,25000000000.0,11.4,200000000000.0,0.6451612903225806,-68.7356003289321,10.0,2,1,1,0,0
3,2,67600000000.0,0.2,0,2,1,1,1,1,0,0,27570562759.0,1.640761981916134,104000000000.0,1.42842831194506,-490.2986975676386,10.0,1,0,1,2,2
0,0,9055406062500.0,0.25,2,2,2,1,0,2,1,2,19900000000000.0,0.864321608040201,4360000000000.0,0.11752021563342319,21.43291375739645,1.8201821231155777,2,0,0,2,2
2,1,127800000000.0,0.2,0,2,0,1,1,0,0,0,60649682068.0,0.18279594589745543,19792318182.0,0.2759041978038299,73.6951773568932,10.0,2,1,1,0,0
3,0,552806250000.0,0.15,2,2,2,1,2,2,1,2,860000000000.0,2.5930232558139537,2170000000000.0,0.7022653721682848,-14.174519230769231,4.285319767441861,2,1,1,2,2
3,0,141213000000.0,0.15,0,2,1,1,0,2,0,1,573000000000.0,0.9546247818499127,477000000000.0,0.42589285714285713,12.21776478646769,1.6429668411867364,2,1,1,2,2
3,1,95988729600.0,0.2524,0,2,1,1,1,1,0,1,76155977713.0,0.654499144831956,124000000000.0,0.9841269841269841,22.961488147518082,4.993751133144224,2,1,1,2,2
1,0,371724334740.0,0.1503,1,2,2,2,2,2,1,2,1004000000000.0,0.4043824701195219,914000000000.0,0.64822695035461,-8.469917123287672,2.4633623505976097,0,1,1,2,2
2,1,134980199999.99998,0.2542,0,2,0,2,2,0,0,1,60176448852.0,0.3853808646142674,84040736448.0,1.0080779358576124,39.61348872861962,8.824050108140469,2,1,1,2,2
3,4,160986330000.0,0.2004,0,2,1,1,2,1,0,1,121000000000.0,1.2231404958677685,20519309930.0,0.07627996256505576,100.0,6.639049586776859,0,1,1,0,0
3,1,453165882465.0,0.15,0,2,2,2,2,2,1,2,620000000000.0,3.725806451612903,864000000000.0,0.29488054607508535,-46.767068888063285,4.872751424354838,2,0,1,2,2
3,1,56831250000.0,0.2,0,2,1,1,0,0,1,1,194000000000.0,2.3556701030927836,195000000000.0,0.2995391705069124,2.5146570796460175,1.4647229381443299,0,1,1,2,2
3,2,96168933000.0,0.2999,0,2,0,2,2,0,0,1,52113054478.0,0.8659972470055836,190000000000.0,1.9538718380051665,-54.91779822630329,6.15335261408202,0,1,1,2,0
3,4,97134712500.0,0.2701,0,2,0,1,0,0,0,1,51794969507.0,0.7231601543261432,31844661037.0,0.3567988165047957,5.050290790921302,6.943241851921495,0,1,0,0,0
1,0,9993240775000.0,0.1267,2,2,2,1,0,0,1,2,14000000000000.0,1.4,9040000000000.0,0.26904761904761904,18.30005800464037,5.6338035714285715,2,1,0,0,0
2,1,74986050000.0,0.2183,0,2,2,1,2,2,0,0,20866330766.0,0.18616108229864145,21644121500.0,0.8744806517744066,46.89696123641616,10.0,0,1,1,2,2
2,2,33555600000.0,0.3,0,2,0,1,1,0,0,0,11507351886.0,0.0855796544466599,4363045063.0,0.3492630236949586,1.50401379021063,9.720046897677706,1,0,0,2,0
1,1,8792064000000.0,0.1024,2,2,2,2,2,2,1,2,19660000000000.0,0.4649033570701933,4390000000000.0,0.15243055555555557,-174.158215010142,4.3672431332655135,2,0,0,0,0
3,1,96617308788.0,0.2013,0,2,1,2,0,0,0,1,190000000000.0,1.0052631578947369,452000000000.0,1.1863517060367454,23.5350430521642,2.526140842105263,0,0,0,0,0
3,0,217416420000.0,0.15,1,2,2,1,2,2,1,1,921000000000.0,0.21606948968512488,11410000000.0,0.0101875,-32941.88181818182,1.573770684039088,0,1,1,2,2
2,1,65250000000.0,0.2,0,2,0,1,0,0,0,1,91000000000.0,1.978021978021978,372000000000.0,1.3726937269372694,16.067514524098996,3.585164835164835,0,1,1,0,0
2,1,154750000000.0,0.2,0,2,0,1,1,0,0,1,70380099865.0,0.12993402769449167,31038251553.0,0.390296163529546,100.0,10.0,2,0,0,2,0
3,1,43200000000.0,0.2,0,2,2,1,0,0,0,0,39523297013.0,0.5363453062639868,107000000000.0,1.7621455346651451,35.85005375040882,5.46513110808932,0,1,1,2,2
